,code
2497,000976
2498,000975
2499,000973
2500,000972
2501,000971
2502,000970
2503,000969
2504,000968
2505,000967
2506,000966
2507,000965
2508,000963
2509,000962
2510,000961
2511,000960
2512,000959
2513,000958
2514,000957
2515,000955
2516,000953
2517,000952
2518,000951
2519,000950
2520,000949
2521,000948
2522,000939
2523,000938
2524,000937
2525,000936
2526,000935
2527,000933
2528,000932
2529,000931
2530,000930
2531,000929
2532,000928
2533,000927
2534,000926
2535,000925
2536,000923
2537,000922
2538,000921
2539,000920
2540,000919
2541,000918
2542,000917
2543,000916
2544,000915
2545,000913
2546,000912
2547,000911
2548,000910
2549,000909
2550,000908
2551,000906
2552,000905
2553,000903
2554,000902
2555,000901
2556,000900
2557,000899
2558,000898
2559,000897
2560,000895
2561,000893
2562,000892
2563,000890
2564,000889
2565,000888
2566,000887
2567,000886
2568,000885
2569,000883
2570,000882
2571,000881
2572,000880
2573,000878
2574,000877
2575,000876
2576,000875
2577,000869
2578,000868
2579,000863
2580,000862
2581,000861
2582,000860
2583,000859
2584,000858
2585,000856
2586,000852
2587,000851
2588,000850
2589,000848
2590,000839
2591,000838
2592,000837
2593,000836
2594,000835
2595,000833
2596,000831
2597,000830
2598,000829
2599,000828
2600,000826
2601,000825
2602,000823
2603,000822
2604,000821
2605,000820
2606,000819
2607,000818
2608,000816
2609,000815
2610,000813
2611,000812
2612,000811
2613,000810
2614,000809
2615,000807
2616,000806
2617,000803
2618,000802
2619,000801
2620,000800
2621,000799
2622,000798
2623,000797
2624,000796
2625,000795
2626,000793
2627,000792
2628,000791
2629,000790
2630,000789
2631,000788
2632,000786
2633,000785
2634,000783
2635,000782
2636,000780
2637,000779
2638,000778
2639,000777
2640,000776
2641,000768
2642,000767
2643,000766
2644,000762
2645,000761
2646,000760
2647,000759
2648,000758
2649,000757
2650,000756
2651,000755
2652,000753
2653,000752
2654,000751
2655,000750
2656,000748
2657,000739
2658,000738
2659,000737
2660,000736
2661,000735
2662,000733
2663,000732
2664,000731
2665,000729
2666,000728
2667,000727
2668,000726
2669,000725
2670,000723
2671,000722
2672,000721
2673,000720
2674,000719
2675,000718
2676,000717
2677,000716
2678,000715
2679,000713
2680,000712
2681,000711
2682,000710
2683,000709
2684,000708
2685,000707
2686,000705
2687,000703
2688,000702
2689,000701
2690,000700
2691,000698
2692,000697
2693,000695
2694,000693
2695,000692
2696,000691
2697,000690
2698,000688
2699,000687
2700,000686
2701,000685
2702,000683
2703,000682
2704,000681
2705,000680
2706,000679
2707,000678
2708,000677
2709,000676
2710,000673
2711,000672
2712,000671
2713,000670
2714,000669
2715,000668
2716,000667
2717,000666
2718,000665
2719,000663
2720,000662
2721,000661
2722,000659
2723,000657
2724,000656
2725,000655
2726,000652
2727,000651
2728,000650
2729,000639
2730,000638
2731,000637
2732,000636
2733,000635
2734,000633
2735,000632
2736,000631
2737,000630
2738,000629
2739,000628
2740,000627
2741,000626
2742,000625
2743,000623
2744,000622
2745,000620
2746,000619
2747,000617
2748,000616
2749,000615
2750,000613
2751,000612
2752,000611
2753,000610
2754,000609
2755,000608
2756,000607
2757,000606
2758,000605
2759,000603
2760,000601
2761,000600
2762,000599
2763,000598
2764,000597
2765,000596
2766,000595
2767,000593
2768,000592
2769,000591
2770,000590
2771,000589
2772,000587
2773,000586
2774,000585
2775,000584
2776,000582
2777,000581
2778,000576
2779,000573
2780,000572
2781,000571
2782,000570
2783,000568
2784,000567
2785,000566
2786,000565
2787,000564
2788,000563
2789,000561
2790,000560
2791,000559
2792,000558
2793,000557
2794,000555
2795,000554
2796,000553
2797,000552
2798,000551
2799,000550
2800,000548
2801,000547
2802,000546
2803,000545
2804,000544
2805,000543
2806,000541
2807,000540
2808,000539
2809,000538
2810,000537
2811,000536
2812,000534
2813,000533
2814,000532
2815,000531
2816,000530
2817,000529
2818,000528
2819,000526
2820,000525
2821,000524
2822,000523
2823,000521
2824,000520
2825,000519
2826,000518
2827,000517
2828,000516
2829,000514
2830,000513
2831,000511
2832,000510
2833,000509
2834,000507
2835,000506
2836,000505
2837,000504
2838,000503
2839,000502
2840,000501
2841,000498
2842,000488
2843,000430
2844,000429
2845,000428
2846,000426
2847,000425
2848,000423
2849,000422
2850,000421
2851,000420
2852,000419
2853,000418
2854,000417
2855,000416
2856,000415
2857,000413
2858,000411
2859,000410
2860,000409
2861,000408
2862,000407
2863,000404
2864,000403
2865,000402
2866,000401
2867,000400
2868,000338
2869,000333
2870,000301
2871,000166
2872,000159
2873,000158
2874,000157
2875,000156
2876,000155
2877,000153
2878,000151
2879,000150
2880,000100
2881,000099
2882,000096
2883,000090
2884,000089
2885,000088
2886,000078
2887,000070
2888,000069
2889,000068
2890,000066
2891,000065
2892,000063
2893,000062
2894,000061
2895,000060
2896,000059
2897,000058
2898,000056
2899,000055
2900,000050
2901,000049
2902,000048
2903,000046
2904,000045
2905,000043
2906,000042
2907,000040
2908,000039
2909,000038
2910,000037
2911,000036
2912,000035
2913,000034
2914,000032
2915,000031
2916,000030
2917,000029
2918,000028
2919,000027
2920,000026
2921,000025
2922,000023
2923,000022
2924,000021
2925,000020
2926,000019
2927,000018
2928,000017
2929,000016
2930,000014
2931,000012
2932,000011
2933,000010
2934,000009
2935,000008
2936,000007
2937,000006
2938,000005
2939,000004
2940,000002
2941,000001
