,code
639,600600
640,600599
641,600598
642,600597
643,600596
644,600595
645,600594
646,600593
647,600592
648,600590
649,600589
650,600588
651,600587
652,600586
653,600585
654,600584
655,600583
656,600582
657,600580
658,600579
659,600578
660,600577
661,600576
662,600575
663,600573
664,600572
665,600571
666,600570
667,600569
668,600568
669,600567
670,600566
671,600565
672,600563
673,600562
674,600561
675,600560
676,600559
677,600558
678,600557
679,600555
680,600552
681,600551
682,600550
683,600549
684,600548
685,600547
686,600545
687,600543
688,600540
689,600538
690,600537
691,600536
692,600535
693,600533
694,600532
695,600531
696,600530
697,600529
698,600528
699,600527
700,600526
701,600525
702,600523
703,600522
704,600521
705,600519
706,600518
707,600517
708,600516
709,600515
710,600513
711,600512
712,600511
713,600510
714,600509
715,600508
716,600507
717,600506
718,600505
719,600503
720,600502
721,600501
722,600500
723,600499
724,600498
725,600497
726,600496
727,600495
728,600493
729,600491
730,600490
731,600489
732,600488
733,600487
734,600486
735,600485
736,600483
737,600482
738,600481
739,600480
740,600479
741,600478
742,600477
743,600476
744,600475
745,600470
746,600469
747,600468
748,600467
749,600466
750,600463
751,600462
752,600461
753,600460
754,600459
755,600458
756,600456
757,600455
758,600452
759,600449
760,600448
761,600446
762,600444
763,600439
764,600438
765,600436
766,600435
767,600433
768,600429
769,600428
770,600426
771,600425
772,600423
773,600422
774,600421
775,600420
776,600419
777,600418
778,600416
779,600415
780,600410
781,600409
782,600408
783,600406
784,600405
785,600403
786,600401
787,600400
788,600399
789,600398
790,600397
791,600396
792,600395
793,600393
794,600392
795,600391
796,600389
797,600388
798,600387
799,600386
800,600385
801,600383
802,600382
803,600380
804,600379
805,600378
806,600377
807,600376
808,600373
809,600372
810,600371
811,600370
812,600369
813,600368
814,600367
815,600366
816,600365
817,600363
818,600362
819,600361
820,600360
821,600359
822,600358
823,600356
824,600355
825,600354
826,600353
827,600352
828,600351
829,600350
830,600348
831,600346
832,600345
833,600343
834,600340
835,600338
836,600337
837,600336
838,600335
839,600333
840,600332
841,600331
842,600330
843,600329
844,600328
845,600327
846,600326
847,600325
848,600323
849,600322
850,600321
851,600320
852,600318
853,600317
854,600316
855,600315
856,600313
857,600312
858,600311
859,600310
860,600309
861,600308
862,600307
863,600305
864,600303
865,600302
866,600300
867,600299
868,600298
869,600297
870,600295
871,600293
872,600292
873,600291
874,600290
875,600289
876,600288
877,600287
878,600285
879,600284
880,600283
881,600282
882,600281
883,600280
884,600279
885,600278
886,600277
887,600276
888,600275
889,600273
890,600272
891,600271
892,600270
893,600269
894,600268
895,600267
896,600266
